d,n,init_loss,final_loss
16,512,0.2492009550333023,0.24630355834960938
23,512,0.2086518108844757,0.20397648215293884
32,512,0.17691783607006073,0.17133069038391113
45,512,0.14889022707939148,0.14250881969928741
64,512,0.12480512261390686,0.11704114824533463
91,512,0.10490291565656662,0.09515023976564407
128,512,0.08827349543571472,0.076621413230896
181,512,0.0741162821650505,0.059822458773851395
256,512,0.062475405633449554,0.044237393885850906
362,512,0.05237164348363876,0.02847612276673317
512,512,0.04427957162261009,0.0
16,4096,0.24992787837982178,0.24954703450202942
23,4096,0.20853829383850098,0.20795610547065735
32,4096,0.1768183410167694,0.17610718309879303
45,4096,0.1491096466779709,0.14826835691928864
64,4096,0.12499939650297165,0.12403476238250732
91,4096,0.10484082251787186,0.10367011278867722
128,4096,0.08842649310827255,0.08700693398714066
181,4096,0.0743430033326149,0.07267744094133377
256,4096,0.06251794844865799,0.06052275374531746
362,4096,0.052555691450834274,0.05018869414925575
512,4096,0.04418556019663811,0.041344910860061646
724,4096,0.03716567903757095,0.03372465446591377
1024,4096,0.03125656768679619,0.02706659771502018
16,64,0.2458275556564331,0.2182178944349289
18,64,0.23672336339950562,0.20140598714351654
21,64,0.21805931627750397,0.1802828162908554
24,64,0.20541374385356903,0.16265001893043518
28,64,0.18791703879833221,0.1428571343421936
32,64,0.17695187032222748,0.1259881556034088
37,64,0.16555899381637573,0.10762439668178558
42,64,0.15674154460430145,0.09118358045816422
49,64,0.13825583457946777,0.06970781087875366
56,64,0.13402414321899414,0.047633517533540726
64,64,0.12321782857179642,6.151765410322696e-05
16,512,0.2494015097618103,0.24630354344844818
18,512,0.23568269610404968,0.23174849152565002
21,512,0.2180187702178955,0.21390488743782043
24,512,0.20434412360191345,0.19947746396064758
28,512,0.18849480152130127,0.18392176926136017
32,512,0.17773662507534027,0.17133070528507233
37,512,0.16447857022285461,0.1585022658109665
42,512,0.15410272777080536,0.14798368513584137
49,512,0.14298087358474731,0.13598217070102692
56,512,0.13401782512664795,0.1262344866991043
64,512,0.12511713802814484,0.11704114824533463
74,512,0.11609558761119843,0.10762439668178558
84,512,0.10906581580638885,0.0998554527759552
97,512,0.10158658027648926,0.0915013924241066
111,512,0.09496667236089706,0.08408145606517792
128,512,0.0885387435555458,0.076621413230896
147,512,0.08243624866008759,0.06970714777708054
169,512,0.07694698125123978,0.06302215158939362
194,512,0.07178045809268951,0.05663726106286049
223,512,0.06711122393608093,0.05036003887653351
256,512,0.06252385675907135,0.044237393885850906
294,512,0.058243487030267715,0.038092903792858124
338,512,0.054367002099752426,0.031739912927150726
388,512,0.05063463747501373,0.025008322671055794
446,512,0.047334056347608566,0.017017465084791183
512,512,0.044336192309856415,1.527371205156669e-05
16,512,0.25084051489830017,0.24630369246006012
18,512,0.2360144853591919,0.2317485362291336
21,512,0.2188153862953186,0.21390488743782043
24,512,0.20494186878204346,0.19947747886180878
28,512,0.18888230621814728,0.18392179906368256
32,512,0.17653410136699677,0.17133069038391113
37,512,0.16454708576202393,0.1585022658109665
42,512,0.1543925255537033,0.14798367023468018
49,512,0.14231166243553162,0.1359821856021881
56,512,0.1336856633424759,0.12623445689678192
64,512,0.12501204013824463,0.11704114079475403
74,512,0.11655964702367783,0.10762439668178558
84,512,0.10911031067371368,0.0998554527759552
97,512,0.10121235251426697,0.0915013924241066
111,512,0.09514688700437546,0.08408145606517792
128,512,0.08842302113771439,0.076621413230896
147,512,0.08254530280828476,0.06970715522766113
169,512,0.07690760493278503,0.06302215158939362
194,512,0.0716797262430191,0.05663726106286049
223,512,0.06700079143047333,0.05036003887653351
256,512,0.06249392032623291,0.044237393885850906
294,512,0.05836842209100723,0.038092903792858124
338,512,0.05428443104028702,0.03173992037773132
388,512,0.05063420534133911,0.025008313357830048
446,512,0.0473589226603508,0.017017465084791183
512,512,0.04415382444858551,1.527371205156669e-05
16,128,0.25143712759017944,0.2347724586725235
18,128,0.23219168186187744,0.21936039626598358
21,128,0.21857008337974548,0.20029975473880768
24,128,0.20384414494037628,0.18471799790859222
28,128,0.19017037749290466,0.16769461333751678
32,128,0.1773519217967987,0.15369467437267303
37,128,0.1642090082168579,0.1391611397266388
42,128,0.15356622636318207,0.12697631120681763
49,128,0.1420907825231552,0.1126713827252388
56,128,0.1332029402256012,0.10061677545309067
64,128,0.12530827522277832,0.08873564749956131
74,128,0.1165902316570282,0.07580173760652542
84,128,0.10867001861333847,0.06422214210033417
97,128,0.10234982520341873,0.050164107233285904
111,128,0.09501797705888748,0.03472703695297241
128,128,0.08895409852266312,0.0
16,64,0.24546949565410614,0.2182178795337677
17,64,0.25086820125579834,0.20948560535907745
18,64,0.2412758767604828,0.20140598714351654
20,64,0.22512973845005035,0.18687063455581665
21,64,0.21408693492412567,0.1802828013896942
23,64,0.20697544515132904,0.16821227967739105
24,64,0.2026941180229187,0.16265001893043518
26,64,0.19326376914978027,0.1523122638463974
28,64,0.1909603327512741,0.1428571343421936
30,64,0.18510469794273376,0.13412462174892426
32,64,0.17398899793624878,0.1259881556034088
34,64,0.17159272730350494,0.11834526062011719
37,64,0.1641257107257843,0.10762439668178558
39,64,0.1604357212781906,0.1008712574839592
42,64,0.15358096361160278,0.09118355810642242
45,64,0.14920835196971893,0.08186556398868561
49,64,0.1421884298324585,0.06970789283514023
52,64,0.13903242349624634,0.060524992644786835
56,64,0.13230188190937042,0.04763145372271538
60,64,0.1295670121908188,0.03260241076350212
64,64,0.123805470764637,0.0
16,128,0.2491064816713333,0.2347724586725235
17,128,0.2430499941110611,0.2267436683177948
18,128,0.23606260120868683,0.21936039626598358
20,128,0.22343981266021729,0.20620302855968475
21,128,0.21834279596805573,0.20029973983764648
23,128,0.20828133821487427,0.18959587812423706
24,128,0.20353803038597107,0.18471798300743103
26,128,0.19684594869613647,0.175756573677063
28,128,0.18989576399326324,0.16769462823867798
30,128,0.1843157559633255,0.16038012504577637
32,128,0.17986220121383667,0.15369465947151184
34,128,0.1706356257200241,0.14754435420036316
37,128,0.16436965763568878,0.1391611397266388
39,128,0.15979398787021637,0.13404814898967743
42,128,0.1540725827217102,0.12697632610797882
45,128,0.14934499561786652,0.12051218003034592
49,128,0.14317846298217773,0.1126713976264
52,128,0.13952898979187012,0.10727616399526596
56,128,0.13334734737873077,0.10061676800251007
60,128,0.13047349452972412,0.09446632117033005
64,128,0.12439803779125214,0.08873564749956131
69,128,0.12031570076942444,0.08205397427082062
74,128,0.11564154177904129,0.07580173015594482
79,128,0.11443960666656494,0.0698847845196724
84,128,0.11057206243276596,0.06422214955091476
91,128,0.10609737783670425,0.056581996381282806
97,128,0.10166987031698227,0.0501641184091568
104,128,0.09710995107889175,0.0426272414624691
111,128,0.0950506404042244,0.0347268208861351
119,128,0.09165727347135544,0.024413621053099632
128,128,0.08947167545557022,3.063748954446055e-05
16,256,0.25062596797943115,0.24253563582897186
17,256,0.24238340556621552,0.23480340838432312
18,256,0.23594291508197784,0.22771002352237701
20,256,0.22427554428577423,0.21511510014533997
21,256,0.21853093802928925,0.20948563516139984
23,256,0.2094450145959854,0.19931679964065552
24,256,0.2042754888534546,0.19470104575157166
26,256,0.19585196673870087,0.18625468015670776
28,256,0.18869014084339142,0.17869743704795837
30,256,0.18175175786018372,0.17187927663326263
32,256,0.17669539153575897,0.16568337380886078
34,256,0.17104870080947876,0.16001731157302856
37,256,0.16386714577674866,0.15235304832458496
39,256,0.16055844724178314,0.1477159857749939
42,256,0.15502402186393738,0.14135532081127167
45,256,0.1490638256072998,0.13560162484645844
49,256,0.1431768536567688,0.12871140241622925
52,256,0.13813449442386627,0.12403473258018494
56,256,0.13297361135482788,0.11834526062011719
60,256,0.12917986512184143,0.11318328976631165
64,256,0.12546129524707794,0.10846522450447083
69,256,0.11998361349105835,0.10309229046106339
74,256,0.11648517102003098,0.09820865094661713
79,256,0.11292506754398346,0.09373527020215988
84,256,0.10862202197313309,0.08960958570241928
91,256,0.1047033742070198,0.08432399481534958
97,256,0.10129471868276596,0.08017567545175552
104,256,0.09827189147472382,0.07570681720972061
111,256,0.09502144157886505,0.07157352566719055
119,256,0.0916067436337471,0.06719186902046204
128,256,0.08869048953056335,0.06262242794036865
137,256,0.08589015901088715,0.05836373567581177
147,256,0.08286996930837631,0.05392429232597351
158,256,0.07983602583408356,0.04931901395320892
169,256,0.07703228294849396,0.04493101313710213
181,256,0.07418173551559448,0.040310781449079514
194,256,0.07203427702188492,0.035401761531829834
208,256,0.06975708901882172,0.030082836747169495
223,256,0.06671864539384842,0.024089884012937546
239,256,0.06462641805410385,1.000000238418579
256,256,0.062272828072309494,0.9999997615814209
16,256,0.2496487945318222,0.24253617227077484
17,256,0.24052394926548004,0.234803706407547
18,256,0.23609237372875214,0.2277103066444397
20,256,0.22394193708896637,0.21511520445346832
21,256,0.2169121354818344,0.20948569476604462
23,256,0.2087363451719284,0.19931688904762268
24,256,0.20472411811351776,0.19470106065273285
26,256,0.19597949087619781,0.18625469505786896
28,256,0.1892223060131073,0.17869745194911957
30,256,0.18295547366142273,0.17187929153442383
32,256,0.17593331634998322,0.16568338871002197
34,256,0.1714847832918167,0.16001731157302856
37,256,0.16385862231254578,0.15235304832458496
39,256,0.16030606627464294,0.1477159857749939
42,256,0.15448236465454102,0.14135530591011047
45,256,0.14960463345050812,0.13560160994529724
49,256,0.14287567138671875,0.12871141731739044
52,256,0.13899709284305573,0.12403473258018494
56,256,0.13447719812393188,0.11834526807069778
60,256,0.1289069950580597,0.11318329721689224
64,256,0.12520937621593475,0.10846522450447083
69,256,0.12016494572162628,0.10309228301048279
74,256,0.11633675545454025,0.09820865094661713
79,256,0.11182733625173569,0.09373525530099869
84,256,0.10914602875709534,0.08960958570241928
91,256,0.10451602935791016,0.08432400226593018
97,256,0.10227397084236145,0.08017567545175552
104,256,0.09755876660346985,0.0757068321108818
111,256,0.09517522901296616,0.07157352566719055
119,256,0.09171228855848312,0.06719186902046204
128,256,0.08829771727323532,0.06262242794036865
137,256,0.08522732555866241,0.058363739401102066
147,256,0.08276112377643585,0.05392429605126381
158,256,0.07929890602827072,0.04931901395320892
169,256,0.07734360545873642,0.04493100568652153
181,256,0.0744648352265358,0.040310781449079514
194,256,0.0718068853020668,0.03540179133415222
208,256,0.06931581348180771,0.030082978308200836
223,256,0.06669547408819199,0.024090902879834175
239,256,0.06459790468215942,0.016707664355635643
256,256,0.06233343109488487,2.16214575630147e-05
16,512,0.25038403272628784,0.24630363285541534
17,512,0.2427915781736374,0.23870857059955597
18,512,0.23599985241889954,0.23174846172332764
20,512,0.2240935117006302,0.21941035985946655
21,512,0.21815869212150574,0.21390490233898163
23,512,0.20776544511318207,0.20397648215293884
24,512,0.20399710536003113,0.1994774341583252
26,512,0.19577094912528992,0.19125862419605255
28,512,0.18909363448619843,0.18392179906368256
30,512,0.18271222710609436,0.17731782793998718
32,512,0.1771102398633957,0.17133070528507233
34,512,0.17095087468624115,0.16586855053901672
37,512,0.16456525027751923,0.1585022509098053
39,512,0.16036581993103027,0.1540592610836029
42,512,0.15461480617523193,0.14798368513584137
45,512,0.1486549973487854,0.14250880479812622
49,512,0.1427386850118637,0.1359821856021881
52,512,0.1384546309709549,0.13157300651073456
56,512,0.13319465517997742,0.12623445689678192
60,512,0.12913331389427185,0.12141802161931992
64,512,0.12539950013160706,0.11704114824533463
69,512,0.1203409805893898,0.11208999902009964
74,512,0.11591070145368576,0.10762438923120499
79,512,0.11237253993749619,0.10356665402650833
84,512,0.10900674760341644,0.0998554527759552
91,512,0.10490797460079193,0.09515023976564407
97,512,0.10131365805864334,0.0915013924241066
104,512,0.09806736558675766,0.08761993795633316
111,512,0.09467068314552307,0.08408144861459732
119,512,0.09160231798887253,0.08039190620183945
128,512,0.08829917013645172,0.076621413230896
137,512,0.08528952300548553,0.07318884134292603
147,512,0.08260134607553482,0.06970714032649994
158,512,0.0794977992773056,0.06621594727039337
169,512,0.07710232585668564,0.06302215903997421
181,512,0.07420771569013596,0.059822458773851395
194,512,0.07180808484554291,0.05663726106286049
208,512,0.06913043558597565,0.05348040163516998
223,512,0.06682266294956207,0.05036003887653351
239,512,0.06480448693037033,0.04727939888834953
256,512,0.06231655180454254,0.044237393885850906
274,512,0.060537733137607574,0.041228991001844406
294,512,0.05828917771577835,0.03809290751814842
315,512,0.05635666474699974,0.03498382866382599
338,512,0.05443563684821129,0.031739916652441025
362,512,0.05256884545087814,0.02847612276673317
388,512,0.05080556496977806,0.025008322671055794
416,512,0.049087487161159515,0.02125096507370472
446,512,0.04735444113612175,0.017017465084791183
478,512,0.045730628073215485,0.011799058876931667
512,512,0.0442279577255249,1.527371205156669e-05
16,1024,0.24982315301895142,0.24816162884235382
17,1024,0.24216097593307495,0.24063245952129364
18,1024,0.23579779267311096,0.23373642563819885
20,1024,0.2238065004348755,0.2215210646390915
21,1024,0.21809042990207672,0.216074600815773
23,1024,0.20802420377731323,0.2062603235244751
24,1024,0.20398229360580444,0.2018166035413742
26,1024,0.19581042230129242,0.19370506703853607
28,1024,0.18912561237812042,0.18647171556949615
30,1024,0.1824425458908081,0.17996782064437866
32,1024,0.17662398517131805,0.17407765984535217
34,1024,0.1712740957736969,0.16870981454849243
37,1024,0.16444258391857147,0.16148044168949127
39,1024,0.1602727472782135,0.15712597966194153
42,1024,0.1543351411819458,0.15117961168289185
45,1024,0.14928920567035675,0.1458301544189453
49,1024,0.14270088076591492,0.13946539163589478
52,1024,0.13883942365646362,0.13517415523529053
56,1024,0.1336406022310257,0.12998877465724945
60,1024,0.1292678415775299,0.12532134354114532
64,1024,0.12500298023223877,0.1210898607969284
69,1024,0.12034890055656433,0.11631596088409424
74,1024,0.11619854718446732,0.1120232492685318
79,1024,0.11249126493930817,0.10813456028699875
84,1024,0.10892785340547562,0.10458911210298538
91,1024,0.1048772931098938,0.10011111199855804
97,1024,0.10157900303602219,0.09665318578481674
104,1024,0.09795912355184555,0.09299067407846451
111,1024,0.09496193379163742,0.08966770768165588
119,1024,0.0916917696595192,0.08622098714113235
128,1024,0.08829308301210403,0.08272012323141098
137,1024,0.08534722030162811,0.07955430448055267
147,1024,0.08259470760822296,0.07636658102273941
158,1024,0.07956869900226593,0.0731968805193901
169,1024,0.07690273225307465,0.07032372802495956
181,1024,0.07430550456047058,0.06747403740882874
194,1024,0.07172194868326187,0.06466962397098541
208,1024,0.06939038634300232,0.06192636489868164
223,1024,0.06704575568437576,0.05925513058900833
239,1024,0.06466206908226013,0.05666280910372734
256,1024,0.062481507658958435,0.05415303632616997
274,1024,0.06041249260306358,0.05172702670097351
294,1024,0.05824663117527962,0.049266308546066284
315,1024,0.05635793134570122,0.04690616950392723
338,1024,0.05447764694690704,0.044541604816913605
362,1024,0.0525687150657177,0.04228018596768379
388,1024,0.050850316882133484,0.04002901166677475
416,1024,0.04898615926504135,0.03779786452651024
446,1024,0.04737754538655281,0.03559251129627228
478,1024,0.04581340774893761,0.033415235579013824
512,1024,0.04419779032468796,0.031265269964933395
549,1024,0.0426899790763855,0.02908189967274666
588,1024,0.041286345571279526,0.02692258358001709
630,1024,0.039801567792892456,0.024725209921598434
676,1024,0.03841184452176094,0.022432537749409676
724,1024,0.037179216742515564,0.020125821232795715
776,1024,0.035884518176317215,0.01767490617930889
832,1024,0.03471884876489639,0.015019346959888935
891,1024,0.03352382779121399,0.012079511769115925
955,1024,0.03238480165600777,0.0084042027592659
1024,1024,0.031299591064453125,0.0
